date,auteur_com,source,commentaire,poste,date_post,auteur
29-10-2025,Ismael Traore,OLBCI,Assurance yakoconfort prélévée une fois par an..,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Serge Oscar Kouaho,OLBCI,"Cela fait 3 ans maintenant que la générale me prélève pour ce produit sans mon accord, après plusieurs réclamations, pas de suite satisfaisante jusqu'à présent",clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Sorcier de Ton-village,OLBCI,Est-ce que ce ne serait pas un prélèvement pour organiser la fête de la réélection de Paul Biya?,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,N'dri Guy Roger Gnagoran,OLBCI,Yakoconfort ?,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Kouande Jules Kouame,OLBCI,C'est le plus bon produit de la générale malheureusement certains gestionnaire prennent le malin plaisir de l'associer et d'autres produit sans explication,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Dotchié Sié Ouattara,OLBCI,C'est obligatoire ?,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
29-10-2025,Aristide Tossou,OLBCI,Oui cest ça yakoconfort. On m'a prélevé 7000 le mois passé,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Jacques Adou,OLBCI,Ce qui est intéressant la banque a toutes les réponses pour le client que tu es même si tu n'es pas satisfait,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Derozalega Delta,OLBCI,Je dis nos banques de côte d'ivoire ne les fis jamais confiance à ses genres la femme comme homme.ils ont toutes les solutions pour faiblir les autres clients,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Lèmko Foot,OLBCI,C'est une assurance sans contrat appelée yakoconfort,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
30-10-2025,Beckers Akatia Lepigeon,OLBCI,Avec sgci il y'a toujours de nouveaux dossiers,clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
